map{ id = "caves/cave", description = "Unknown Cave" }
map{ id = "caves/east_mt_tamaranch/cave_1", description = "Cave 1 - Underwater Cave" }
map{ id = "caves/east_mt_tamaranch/cave_2", description = "Cave 2 - Path to East Mt Tamaranch 1" }
map{ id = "caves/east_mt_tamaranch/cave_3", description = "Cave 3 - Path to East Mt Tamaranch 2" }
map{ id = "caves/east_mt_tamaranch/cave_4", description = "Cave 4 - Tower Mountain Cave 1" }
map{ id = "caves/east_mt_tamaranch/cave_5", description = "Cave 5 - Tower Mountain Cave 2" }
map{ id = "caves/east_mt_tamaranch/cave_6", description = "Cave 6 - Path to Eagle Tower 1" }
map{ id = "caves/east_mt_tamaranch/cave_7", description = "Cave 7 - Path to Eagle Tower 2" }
map{ id = "caves/east_mt_tamaranch/fairy_fountain", description = "Fairy's fountain" }
map{ id = "caves/east_prairie/cave_1", description = "Cave 1 - Road to Animals Village" }
map{ id = "caves/east_prairie/cave_2", description = "Cave 2 - Prairie Hill 1" }
map{ id = "caves/east_prairie/cave_3", description = "Cave 3 - Prairie Hill 2" }
map{ id = "caves/egg_of_the_dream_fish/cave_1", description = "Cave 1" }
map{ id = "caves/egg_of_the_dream_fish/cave_2", description = "Cave 2" }
map{ id = "caves/egg_of_the_dream_fish/cave_3", description = "Cave 3" }
map{ id = "caves/egg_of_the_dream_fish/cave_4", description = "Cave 4 - Mad bat cavern" }
map{ id = "caves/egg_of_the_dream_fish/cave_5", description = "Cave 5 - Path to West Mt Tamaranch" }
map{ id = "caves/egg_of_the_dream_fish/moblins_cave", description = "Moblins's house" }
map{ id = "caves/forest/cave_1", description = "Cave 1" }
map{ id = "caves/forest/cave_2", description = "Cave 2" }
map{ id = "caves/forest/cave_3", description = "Cave 3 - Mad Bat cavern" }
map{ id = "caves/graveyard/cave_1", description = "Cave 1 - Heart Piece Cave" }
map{ id = "caves/kanalet_castle/cave_1", description = "Cave 1" }
map{ id = "caves/mabe_village/cave_1", description = "Cave 1" }
map{ id = "caves/mabe_village/weathercock", description = "Weathercock" }
map{ id = "caves/mambos_cave/cave_1", description = "Cave 1 - Vers randonneur 1" }
map{ id = "caves/mambos_cave/cave_2", description = "Cave 2 - Vers randonneur 2" }
map{ id = "caves/mambos_cave/cave_3", description = "Cave 3 - Bird Key Cave" }
map{ id = "caves/mambos_cave/cave_4", description = "Cave 4 - Path to Dungeon 4" }
map{ id = "caves/martha_bay/cave_1", description = "Cave 1 - Chemin vers l'upgrade de poudre magique" }
map{ id = "caves/martha_bay/cave_2", description = "Cave 2 - Lens Cave" }
map{ id = "caves/mask_shrine/cave_1", description = "Cave 1 - Return rafting" }
map{ id = "caves/mask_shrine/cave_2", description = "Cave 2 - South temple secret cave" }
map{ id = "caves/mask_shrine/cave_3", description = "Cave 3 - Path to Face Shrine" }
map{ id = "caves/mask_shrine/fairy_fountain", description = "Fairy's fountain" }
map{ id = "caves/prairie/cave_1", description = "Cave 1" }
map{ id = "caves/prairie/cave_2", description = "Cave 2" }
map{ id = "caves/prairie/fairy_fountain", description = "Fairy fountain" }
map{ id = "caves/south_prairie/cave_1", description = "Cave 1" }
map{ id = "caves/south_prairie/cave_2", description = "Cave 2" }
map{ id = "caves/south_prairie/cave_3", description = "Cave 3 - Mad bat cavern" }
map{ id = "caves/south_prairie/cave_4", description = "Cave 4 - Boomerang Cave" }
map{ id = "caves/south_prairie/cave_5", description = "Cave 5 - Wart Cave" }
map{ id = "caves/west_mt_tamaranch/cave_1", description = "Cave 1" }
map{ id = "caves/west_mt_tamaranch/cave_2", description = "Cave 2 - To Turtle Rock" }
map{ id = "caves/yarna_desert/cave_1", description = "Cave 1 - Heart Piece Cave" }
map{ id = "caves/yarna_desert/cave_2", description = "Cave 2 - Yarna Cave" }
map{ id = "dungeons/1/1f", description = "Dungeon 1 1F" }
map{ id = "dungeons/1/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/1/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/10/1f", description = "Dungeon 10 1F" }
map{ id = "dungeons/10/b1", description = "Dungeon 10 B1" }
map{ id = "dungeons/10/entrance", description = "Dungeon 10 Entrance" }
map{ id = "dungeons/10/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/11/1f", description = "Dungeon 11 1F" }
map{ id = "dungeons/11/b1", description = "Dungeon 11 B1" }
map{ id = "dungeons/11/b2", description = "Dungeon 11 B2" }
map{ id = "dungeons/2/1f", description = "Dungeon 2 1F" }
map{ id = "dungeons/2/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/2/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/2/sideview_3", description = "Sideview 3" }
map{ id = "dungeons/3/1f", description = "Dungeon 3 1F" }
map{ id = "dungeons/3/b1", description = "Dungeon 3 B1" }
map{ id = "dungeons/3/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/4/1f", description = "Dungeon 4 1F" }
map{ id = "dungeons/4/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/4/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/4/sideview_3", description = "Sideview 3" }
map{ id = "dungeons/4/sideview_4", description = "Sideview 4" }
map{ id = "dungeons/5/1f", description = "Dungeon 5 1F" }
map{ id = "dungeons/5/sideview_1", description = "Sideview 1" }
map{ id = "dungeons/5/sideview_2", description = "Sideview 2" }
map{ id = "dungeons/5/sideview_3", description = "Sideview 3" }
map{ id = "dungeons/5/sideview_4", description = "Sideview 4" }
map{ id = "dungeons/6/1f", description = "Dungeon 6 1F" }
map{ id = "dungeons/7/1f", description = "Dungeon 7 1F" }
map{ id = "dungeons/7/2f", description = "Dungeon 7 2F" }
map{ id = "dungeons/7/3f", description = "Dungeon 7 3F" }
map{ id = "dungeons/7/3f_bis", description = "Dungeon 7 3F Bis" }
map{ id = "dungeons/8/1f", description = "Dungeon 8 1F" }
map{ id = "dungeons/9/1f", description = "Dungeon 9 1F" }
map{ id = "examples/beach_store", description = "Beach Store" }
map{ id = "examples/cave_store", description = "Cave Store" }
map{ id = "examples/dungeon_store", description = "Dungeon store" }
map{ id = "examples/hyrule_castle", description = "ALTTP Hyrule Castle outside" }
map{ id = "examples/island", description = "island" }
map{ id = "examples/kakariko_village", description = "ALTTP Kakariko Village" }
map{ id = "examples/others", description = "Others" }
map{ id = "examples/outside_store", description = "Outside Store" }
map{ id = "examples/sideview_cave", description = "Sideview cave example" }
map{ id = "examples/test_map", description = "Test map" }
map{ id = "houses/east_prairie/telephone_booth_5", description = "Telephone booth 5" }
map{ id = "houses/egg_of_the_dream_fish/photographer_house", description = "Photographer house" }
map{ id = "houses/graveyard/drugstore", description = "Drugstore" }
map{ id = "houses/graveyard/witch_house", description = "Witch house" }
map{ id = "houses/kanalet_castle/kanalet_castle_1f", description = "Kanalet castle 1F" }
map{ id = "houses/kanalet_castle/kanalet_castle_2f", description = "Kanalet castle 2F" }
map{ id = "houses/kanalet_castle/telephone_booth_6", description = "Telephone booth 6" }
map{ id = "houses/mabe_village/dream_shine_lower_level", description = "Dream shine lower level" }
map{ id = "houses/mabe_village/dream_shine_upper_level", description = "Dream shine upper level" }
map{ id = "houses/mabe_village/grand_pa_house", description = "Grandpa house" }
map{ id = "houses/mabe_village/library", description = "Library" }
map{ id = "houses/mabe_village/marin_house", description = "Marin house" }
map{ id = "houses/mabe_village/meow_meow_house", description = "Meow meow house" }
map{ id = "houses/mabe_village/quadruplets_house", description = "Quadruplets house" }
map{ id = "houses/mabe_village/shop_1", description = "Shop 1" }
map{ id = "houses/mabe_village/shop_2", description = "Shop 2" }
map{ id = "houses/mabe_village/telephone_booth_1", description = "Telephone booth 1" }
map{ id = "houses/mambos_cave/cuccos_house", description = "Cucco's house" }
map{ id = "houses/martha_bay/telephone_booth_7", description = "Telephone booth 7" }
map{ id = "houses/martha_bay/telephone_booth_8", description = "Telephone booth 8" }
map{ id = "houses/mask_shrine/south_shrine", description = "South shrine" }
map{ id = "houses/prairie/telephone_booth_4", description = "Telephone booth 4" }
map{ id = "houses/rafting/rafting_house", description = "Rafting's house" }
map{ id = "houses/south_mabe_village/sales_house_o_bananas", description = "Sale's House O' Bananas" }
map{ id = "houses/south_prairie/ghost_house", description = "Ghost house" }
map{ id = "houses/south_prairie/richard_villa", description = "Richard villa" }
map{ id = "houses/west_mt_tamaranch/mr_write_house", description = "Mr. Write house" }
map{ id = "houses/west_mt_tamaranch/telephone_booth_2", description = "Telephone booth 2" }
map{ id = "houses/west_mt_tamaranch/telephone_booth_3", description = "Telephone booth 3" }
map{ id = "houses/yarna_desert/bear_house", description = "Bear's house" }
map{ id = "houses/yarna_desert/christine_house", description = "Christine's house" }
map{ id = "houses/yarna_desert/empty_house", description = "Empty house" }
map{ id = "houses/yarna_desert/painter_house", description = "Painter's house" }
map{ id = "houses/yarna_desert/rabbits_house", description = "Rabbits house" }
map{ id = "movies/introduction", description = "Introduction" }
map{ id = "movies/introduction2", description = "Cocolint Beach" }
map{ id = "movies/link_and_marin", description = "Link and Marin" }
map{ id = "out/a1_west_mt_tamaranch", description = "A1 - West Mt Tamaranch" }
map{ id = "out/a2_forest", description = "A2 - Forest" }
map{ id = "out/a3_mabe_village", description = "A3 - Mabe village" }
map{ id = "out/a4_south_mabe_village", description = "A4 - South village" }
map{ id = "out/b1_egg_of_the_dream_fish", description = "B1 - Egg of the dream fish" }
map{ id = "out/b2_graveyard", description = "B2 - Graveyard" }
map{ id = "out/b3_prairie", description = "B3 - Prairie" }
map{ id = "out/b4_south_prairie", description = "B4 - South prairie" }
map{ id = "out/c1_mambos_cave", description = "C1 - Mambo's cave" }
map{ id = "out/c2_kanalet_castle", description = "C2 - Kanalet castle" }
map{ id = "out/c3_east_prairie", description = "C3 - East prairie" }
map{ id = "out/c4_martha_bay", description = "C4 - Baie de Martha" }
map{ id = "out/d1_east_mt_tamaranch", description = "D1 - East Mt Tamaranch" }
map{ id = "out/d2_rafting", description = "D2 - Rafting" }
map{ id = "out/d3_mask_shrine", description = "D3 - Mask shrine" }
map{ id = "out/d4_yarna_desert", description = "D4 - Yarna desert" }
map{ id = "sideviews/kanalet_castle/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/mabe_village/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/martha_bay/sideview_1", description = "Sideview 1" }
map{ id = "sideviews/martha_bay/sideview_2", description = "Sideview 2" }
map{ id = "trial/1", description = "Level 1" }
map{ id = "trial/2", description = "Level 2" }

tileset{ id = "dungeon/blue", description = "Blue" }
tileset{ id = "dungeon/brown", description = "Brown" }
tileset{ id = "dungeon/dark_brown", description = "Dark brown" }
tileset{ id = "dungeon/dark_yellow", description = "Dark yellow" }
tileset{ id = "dungeon/extra/owl_temple", description = "Extra tiles for Owl Temple" }
tileset{ id = "dungeon/gray", description = "Gray" }
tileset{ id = "dungeon/gray_blue", description = "Dark blue" }
tileset{ id = "dungeon/gray_brown", description = "Gray brown" }
tileset{ id = "dungeon/gray_pink", description = "Gray pink" }
tileset{ id = "dungeon/gray_yellow", description = "Gray yellow" }
tileset{ id = "dungeon/green", description = "Green" }
tileset{ id = "dungeon/light_blue", description = "Light blue" }
tileset{ id = "dungeon/light_brown", description = "Light brown" }
tileset{ id = "dungeon/light_green", description = "Light green" }
tileset{ id = "dungeon/pink", description = "Pink" }
tileset{ id = "dungeon/purple", description = "Purple" }
tileset{ id = "dungeon/yellow", description = "Yellow" }
tileset{ id = "movies/beach", description = "Beach" }
tileset{ id = "movies/beach_sunset", description = "Beach sunset" }
tileset{ id = "out/light_world_legacy", description = "Light world legacy" }
tileset{ id = "out/outside", description = "Outside" }
tileset{ id = "sideview/sideview", description = "Side view tileset" }

sprite{ id = "console/cursor", description = "Console cursor" }
sprite{ id = "console/icons", description = "Console icons" }
sprite{ id = "dungeons/owl/pipes/red", description = "Red pipe with water flowing" }
sprite{ id = "dungeons/owl/pipes/yellow", description = "Yellow pipe with water flowing" }
sprite{ id = "enemies/angler_brick", description = "Angler brick" }
sprite{ id = "enemies/angler_fry", description = "Angler fry" }
sprite{ id = "enemies/anti_kirby", description = "Anti kirby" }
sprite{ id = "enemies/arm_mimic", description = "Arm mimic" }
sprite{ id = "enemies/armos", description = "Armos" }
sprite{ id = "enemies/arrow", description = "Arrow" }
sprite{ id = "enemies/ballchain_soldier", description = "Ballchain soldier" }
sprite{ id = "enemies/ballchain_soldier_ball", description = "Ballchain soldier ball" }
sprite{ id = "enemies/ballchain_soldier_chain", description = "Ballchain soldier chain" }
sprite{ id = "enemies/beamos", description = "Beamos" }
sprite{ id = "enemies/beetle_blue", description = "Beetle blue" }
sprite{ id = "enemies/beetle_green", description = "Beetle green" }
sprite{ id = "enemies/beetle_red", description = "Beetle red" }
sprite{ id = "enemies/bloober", description = "Bloober" }
sprite{ id = "enemies/bomber", description = "Bomber" }
sprite{ id = "enemies/boo_buddy", description = "Boo buddy" }
sprite{ id = "enemies/boss/angler's_fish", description = "Angler's fish" }
sprite{ id = "enemies/boss/big_armos_knight", description = "Big armos knight" }
sprite{ id = "enemies/boss/cue_ball", description = "Cue ball" }
sprite{ id = "enemies/boss/cue_ball_splash_effect", description = "Cue ball splash effect" }
sprite{ id = "enemies/boss/dodongo_snake", description = "Dodongo_snake" }
sprite{ id = "enemies/boss/dodongo_snake/dodongo_snake_body", description = "Dodongo snake body" }
sprite{ id = "enemies/boss/evil_orb", description = "Evil orb" }
sprite{ id = "enemies/boss/evil_orb/orb_evil_orb", description = "Orb evil orb" }
sprite{ id = "enemies/boss/facade", description = "Facade" }
sprite{ id = "enemies/boss/genie", description = "Genie" }
sprite{ id = "enemies/boss/genie/genie_bottle", description = "Genie bottle" }
sprite{ id = "enemies/boss/genie/genie_fire_ball", description = "Genie fire ball" }
sprite{ id = "enemies/boss/genie_enemies/genie_bottle", description = "Genie bottle" }
sprite{ id = "enemies/boss/giant_buzz_blob", description = "Giant buzz blob" }
sprite{ id = "enemies/boss/giant_buzz_blob_zol_form", description = "Giant buzz blob zol form" }
sprite{ id = "enemies/boss/gohma_blue", description = "Gohma blue" }
sprite{ id = "enemies/boss/gohma_blue_eye", description = "Gohma blue eye" }
sprite{ id = "enemies/boss/gohma_red", description = "Gohma red" }
sprite{ id = "enemies/boss/gohma_red_eye", description = "Gohma red eye" }
sprite{ id = "enemies/boss/grim_creeper", description = "Grim creeper" }
sprite{ id = "enemies/boss/hinox_master", description = "Hinox master" }
sprite{ id = "enemies/boss/hinox_master_blue", description = "Hinox master blue" }
sprite{ id = "enemies/boss/hinox_master_red", description = "Hinox master red" }
sprite{ id = "enemies/boss/hot_head", description = "Hot head" }
sprite{ id = "enemies/boss/hot_head_form_b", description = "Hot head form b" }
sprite{ id = "enemies/boss/hot_head_form_c", description = "Hot head form c" }
sprite{ id = "enemies/boss/master_stalfos", description = "Master stalfos" }
sprite{ id = "enemies/boss/master_stalfos/master_stalfos_shadow", description = "Master stalfos shadow" }
sprite{ id = "enemies/boss/master_stalfos/master_stalfos_shield", description = "Master stalfos shield" }
sprite{ id = "enemies/boss/master_stalfos/master_stalfos_sword", description = "Master stalfos sword" }
sprite{ id = "enemies/boss/moblin_chief", description = "Moblin chief" }
sprite{ id = "enemies/boss/moldorm/moldorm", description = "Moldorm tail" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_1", description = "Moldorm body 1" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_2", description = "Moldorm body 2" }
sprite{ id = "enemies/boss/moldorm/moldorm_body_3", description = "Moldorm body 3" }
sprite{ id = "enemies/boss/moldorm/moldorm_head", description = "Moldorm head" }
sprite{ id = "enemies/boss/rolling_bones/rolling_bones", description = "Rolling bones" }
sprite{ id = "enemies/boss/rolling_bones/rolling_bones_spike", description = "Rolling bones spike" }
sprite{ id = "enemies/boss/skeleton", description = "Skeleton" }
sprite{ id = "enemies/boss/smasher", description = "Smasher" }
sprite{ id = "enemies/boss/stone_hinox", description = "Stone hinox" }
sprite{ id = "enemies/boss/turtle_rock_head", description = "Turtle rock head" }
sprite{ id = "enemies/boss/turtle_rock_head/turtle_rock_chain", description = "Turtle rock chain" }
sprite{ id = "enemies/boulder", description = "Boulder" }
sprite{ id = "enemies/bubble", description = "Bubble" }
sprite{ id = "enemies/buzz_blob", description = "Buzz blob" }
sprite{ id = "enemies/camo_goblin_blue", description = "Camo goblin blue" }
sprite{ id = "enemies/camo_goblin_green", description = "Camo goblin green" }
sprite{ id = "enemies/camo_goblin_red", description = "Camo goblin red" }
sprite{ id = "enemies/cheep_cheep", description = "Cheep cheep" }
sprite{ id = "enemies/chicken", description = "Chicken" }
sprite{ id = "enemies/chicken_mortal", description = "Chicken mortal" }
sprite{ id = "enemies/coconut", description = "Monkey coconut" }
sprite{ id = "enemies/crow", description = "Crow" }
sprite{ id = "enemies/cukeman", description = "Cukeman" }
sprite{ id = "enemies/darknut", description = "Darknut sword" }
sprite{ id = "enemies/darknut_bow", description = "Darknut bow" }
sprite{ id = "enemies/death_ball", description = "Death ball" }
sprite{ id = "enemies/dog", description = "Dog" }
sprite{ id = "enemies/enemy_killed", description = "Enemy killed" }
sprite{ id = "enemies/eyegore_statue", description = "Eyegore statue" }
sprite{ id = "enemies/face_lamp", description = "Face lamp" }
sprite{ id = "enemies/fireball", description = "Fireball" }
sprite{ id = "enemies/fireball_small_triple_red", description = "fireball_small_triple_red" }
sprite{ id = "enemies/flying_octorok", description = "Flying octorok" }
sprite{ id = "enemies/flying_tile", description = "Flying tile" }
sprite{ id = "enemies/gel_red", description = "Gel red" }
sprite{ id = "enemies/ghini", description = "Ghini" }
sprite{ id = "enemies/giant_bubble", description = "Giant bubble" }
sprite{ id = "enemies/giant_ghini", description = "Giant ghini" }
sprite{ id = "enemies/giant_goponga_flower", description = "Giant Goponga Flower" }
sprite{ id = "enemies/gibdo", description = "Gibdo" }
sprite{ id = "enemies/goomba", description = "Goomba" }
sprite{ id = "enemies/goponga_flower", description = "Goponga flower" }
sprite{ id = "enemies/green_bombite", description = "Green bombite" }
sprite{ id = "enemies/hardhat_beetle_blue", description = "Hardhat beetle blue" }
sprite{ id = "enemies/hardhat_beetle_red", description = "Hardhat beetle red" }
sprite{ id = "enemies/helmasaur_masked", description = "Helmasaur masked" }
sprite{ id = "enemies/helmasaur_naked", description = "Helmasaur naked" }
