properties{
  x = 0,
  y = 0,
  width = 320,
  height = 768,
  min_layer = -1,
  max_layer = 2,
  world = "inside_world",
  tileset = "dungeon/purple",
  music = "maps/houses/southern_shrine",
}

tile{
  layer = -1,
  x = 72,
  y = 328,
  width = 176,
  height = 112,
  pattern = "floor.17-1",
}

tile{
  layer = -1,
  x = 72,
  y = 136,
  width = 176,
  height = 48,
  pattern = "floor.17-1",
}

tile{
  layer = -1,
  x = 104,
  y = 128,
  width = 112,
  height = 8,
  pattern = "wall_low_border.1-2",
}

tile{
  layer = -1,
  x = 64,
  y = 160,
  width = 32,
  height = 8,
  pattern = "wall_low_border.1-2",
}

tile{
  layer = -1,
  x = 104,
  y = 616,
  width = 112,
  height = 8,
  pattern = "wall_low_border.2-2",
}

tile{
  layer = -1,
  x = 64,
  y = 296,
  width = 192,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 96,
  y = 440,
  width = 128,
  height = 32,
  pattern = "floor.3-1",
}

tile{
  layer = -1,
  x = 104,
  y = 448,
  width = 112,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 96,
  y = 552,
  width = 128,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 168,
  y = 456,
  width = 8,
  height = 104,
  pattern = "barrier.2-1",
}

tile{
  layer = -1,
  x = 152,
  y = 456,
  width = 16,
  height = 128,
  pattern = "floor.3-1",
}

tile{
  layer = -1,
  x = 96,
  y = 104,
  width = 128,
  height = 24,
  pattern = "wall_low.1-1",
}

tile{
  layer = -1,
  x = 216,
  y = 584,
  width = 8,
  height = 32,
  pattern = "wall_low_border.4-2",
}

tile{
  layer = -1,
  x = 96,
  y = 584,
  width = 8,
  height = 32,
  pattern = "wall_low_border.3-2",
}

tile{
  layer = -1,
  x = 104,
  y = 416,
  width = 8,
  height = 32,
  pattern = "wall_low_border.3-2",
}

tile{
  layer = -1,
  x = 72,
  y = 624,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 224,
  y = 624,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 96,
  y = 624,
  width = 128,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 72,
  y = 576,
  width = 24,
  height = 48,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 224,
  y = 576,
  width = 24,
  height = 48,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 224,
  y = 552,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 72,
  y = 552,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 216,
  y = 448,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.4-1",
}

tile{
  layer = -1,
  x = 80,
  y = 448,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.3-1",
}

tile{
  layer = -1,
  x = 80,
  y = 432,
  width = 24,
  height = 16,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 56,
  y = 416,
  width = 32,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 80,
  y = 416,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 320,
  width = 24,
  height = 112,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 40,
  y = 296,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 256,
  y = 312,
  width = 24,
  height = 128,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 232,
  y = 416,
  width = 32,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 216,
  y = 432,
  width = 24,
  height = 16,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 216,
  y = 416,
  width = 24,
  height = 24,
  pattern = "wall_low.corner_reverse.4-1",
}

tile{
  layer = -1,
  x = 64,
  y = 192,
  width = 192,
  height = 24,
  pattern = "wall_low.2-1",
}

tile{
  layer = -1,
  x = 40,
  y = 136,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.1-1",
}

tile{
  layer = -1,
  x = 256,
  y = 136,
  width = 24,
  height = 24,
  pattern = "wall_low.corner.2-1",
}

tile{
  layer = -1,
  x = 40,
  y = 160,
  width = 24,
  height = 32,
  pattern = "wall_low.3-1",
}

tile{
  layer = -1,
  x = 256,
  y = 160,
  width = 24,
  height = 32,
  pattern = "wall_low.4-1",
}

tile{
  layer = -1,
  x = 224,
  y = 160,
  width = 32,
  height = 8,
  pattern = "wall_low_border.1-2",
}

tile{
  layer = -1,
  x = 64,
  y = 152,
  width = 8,
  height = 32,
  pattern = "wall_low_border.3-2",
}

tile{
  layer = -1,
  x = 248,
  y = 152,
  width = 8,
  height = 32,
  pattern = "wall_low_border.4-2",
}

tile{
  layer = -1,
  x = 248,
  y = 184,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-2",
}

tile{
  layer = -1,
  x = 72,
  y = 184,
  width = 176,
  height = 8,
  pattern = "wall_low_border.2-2",
}

tile{
  layer = -1,
  x = 64,
  y = 184,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-2",
}

tile{
  layer = -1,
  x = 104,
  y = 440,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.3-2",
}

tile{
  layer = -1,
  x = 112,
  y = 440,
  width = 96,
  height = 8,
  pattern = "wall_low_border.2-2",
}

tile{
  layer = -1,
  x = 208,
  y = 440,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-2",
}

tile{
  layer = -1,
  x = 64,
  y = 328,
  width = 8,
  height = 80,
  pattern = "wall_low_border.3-2",
}

tile{
  layer = -1,
  x = 248,
  y = 328,
  width = 8,
  height = 80,
  pattern = "wall_low_border.4-2",
}

tile{
  layer = -1,
  x = 248,
  y = 408,
  width = 8,
  height = 8,
  pattern = "wall_low_border.corner.4-2",
}

tile{
  layer = -1,
  x = 72,
